hardware,repeat,model,prefix,cache,concurrency,requests,successful,failed,completion_tokens_per_s,latency_p95_s,ttft_p95_s
a10080,3,1.5b,unique,0,16,64,64,0,2528.2667413833065,0.8395901119336486,0.14776956848800182
a10080,3,1.5b,unique,0,32,64,64,0,4039.1560565863506,1.1600741807371378,0.28148502092808486
a10080,3,1.5b,unique,1,1,64,64,0,208.29031103403963,0.6289365274831653,0.026326530426740644
a10080,3,1.5b,unique,1,4,64,64,0,759.1439528426531,0.6968534123152494,0.05946851167827845
a10080,3,1.5b,unique,1,16,64,64,0,2543.3109189305933,0.824740875326097,0.14461796414107084
a10080,3,1.5b,unique,1,32,64,64,0,4035.931182305094,1.1491371400654316,0.27182209249585865
a10080,3,7b,shared,0,1,64,64,0,89.10582156477976,1.4796911699697375,0.08036628924310207
a10080,3,7b,shared,0,4,64,64,0,327.3872823249731,1.6464391170069574,0.18746166713535786
a10080,3,7b,shared,0,16,64,64,0,1010.3398434827656,2.1312955100089312,0.5293186215683818
a10080,3,7b,shared,0,32,64,64,0,1541.8058925289545,3.2900184482336043,1.051939051412046
a10080,3,7b,shared,1,1,64,64,0,90.70851090430534,1.4198928790166974,0.021016225591301917
a10080,3,7b,shared,1,4,64,64,0,350.779075637451,1.5180779768154022,0.05153124891221523
a10080,3,7b,shared,1,16,64,64,0,1259.842584713058,1.70304436981678,0.15750418845564126
a10080,3,7b,shared,1,32,64,64,0,2264.9861761620255,1.8824163611978293,0.21997085958719254
a10080,3,7b,unique,0,1,64,64,0,88.92408370823647,1.483973921649158,0.08086458258330823
a10080,3,7b,unique,0,4,64,64,0,325.4225872497073,1.6498578365892171,0.19183706119656563
a10080,3,7b,unique,0,16,64,64,0,979.8767245021907,2.2732382088899605,0.5288386443629861
a10080,3,7b,unique,0,32,64,64,0,1492.2018090470833,3.4597743086516846,1.112276114150881
a10080,3,7b,unique,1,1,64,64,0,88.90440893048005,1.4841842511668801,0.08086857050657273
a10080,3,7b,unique,1,4,64,64,0,325.82856260419516,1.6506805589422582,0.2059772076085209
a10080,3,7b,unique,1,16,64,64,0,984.6752247552732,2.261572688445449,0.5311320887878537
a10080,3,7b,unique,1,32,64,64,0,1502.2970593382345,3.466769147291778,1.1061958320438858
a10080,4,1.5b,shared,0,1,64,64,0,207.4074885233518,0.6351411854848266,0.025914830900728703
a10080,4,1.5b,shared,0,4,64,64,0,753.549112323633,0.699925803206861,0.060469179600477214
a10080,4,1.5b,shared,0,16,64,64,0,2566.557251740044,0.8334822898730635,0.14378832709044218
a10080,4,1.5b,shared,0,32,64,64,0,4106.218805324948,1.0969606827944518,0.2836571240797639
a10080,4,1.5b,shared,1,1,64,64,0,209.8453513230982,0.6193265091627836,0.016861643269658066
a10080,4,1.5b,shared,1,4,64,64,0,773.3406606868543,0.6812783788889646,0.024524049460887907
a10080,4,1.5b,shared,1,16,64,64,0,2808.214415035087,0.7470557508990169,0.05370445400476455
a10080,4,1.5b,shared,1,32,64,64,0,5110.543941492267,0.8062345394864678,0.06924830973148347
a10080,4,1.5b,unique,0,1,64,64,0,209.17207293997964,0.6288801200687885,0.026265384815633296
a10080,4,1.5b,unique,0,4,64,64,0,762.9352562367131,0.690406135097146,0.061811061948537825
a10080,4,1.5b,unique,0,16,64,64,0,2527.8478384028685,0.8415665360167622,0.14483798630535602
a10080,4,1.5b,unique,0,32,64,64,0,4035.8213356054334,1.100912973470986,0.2924754457548261
a10080,4,1.5b,unique,1,1,64,64,0,208.3948364775228,0.6282951589673758,0.025912880524992944
a10080,4,1.5b,unique,1,4,64,64,0,755.1933085978603,0.6967157606035471,0.06160013508051634
a10080,4,1.5b,unique,1,16,64,64,0,2506.826470629301,0.8650386052206158,0.1705505967140198
a10080,4,1.5b,unique,1,32,64,64,0,4029.7196793211947,1.1153008598834275,0.2905108857899904
a10080,4,7b,shared,0,1,64,64,0,88.94002638154278,1.482704752497375,0.08075427357107401
a10080,4,7b,shared,0,4,64,64,0,328.09553731864247,1.653790435194969,0.19685476068407295
a10080,4,7b,shared,0,16,64,64,0,1004.528273085707,2.185281014814973,0.5752395994961261
a10080,4,7b,shared,0,32,64,64,0,1543.2367572055898,3.2609696764498937,1.1212518544867631
a10080,4,7b,shared,1,1,64,64,0,90.59863545618184,1.4241649413481354,0.02066931687295437
a10080,4,7b,shared,1,4,64,64,0,350.06310686002524,1.5455178292468186,0.11049096267670344
a10080,4,7b,shared,1,16,64,64,0,1254.046429311439,1.7072167877107858,0.16543955150991677
a10080,4,7b,shared,1,32,64,64,0,2266.071820295921,1.8606687223538756,0.19520552158355714
a10080,4,7b,unique,0,1,64,64,0,88.93050702001138,1.4830820322036744,0.08072897773236036
a10080,4,7b,unique,0,4,64,64,0,326.57394340979056,1.6632282149046658,0.20789816118776797
a10080,4,7b,unique,0,16,64,64,0,979.7411724206673,2.296803559362888,0.5942608648911119
a10080,4,7b,unique,0,32,64,64,0,1487.5000882594345,3.3619607824832203,1.22315230127424
a10080,4,7b,unique,1,1,64,64,0,88.83654215593668,1.4830258334055544,0.08087777979671955
a10080,4,7b,unique,1,4,64,64,0,325.5476347554312,1.6659100413322447,0.2096503686159849
a10080,4,7b,unique,1,16,64,64,0,984.2366127739264,2.37898782659322,0.6654187133535743
a10080,4,7b,unique,1,32,64,64,0,1494.9289179231696,3.3885196790099146,1.2017524531111121
